/data/guichoux/TED/ted_dataset/lmdb_train_speaker_model.pkl
Pose dim: 27
[VAL] joint mae: 0.02579, accel diff: 0.00372, FGD: 5.563, diversity_score: 94.414, BC: 0.745, BC 0.07: 0.722, Symetric_BC: 1.540, feat_D: 58.151 / 168.9s
[VAL] joint mae: 0.02528, accel diff: 0.00365, FGD: 5.671, diversity_score: 96.471, BC: 0.742, BC 0.07: 0.717, Symetric_BC: 1.538, feat_D: 57.285 / 167.4s
[VAL] joint mae: 0.02569, accel diff: 0.00362, FGD: 4.503, diversity_score: 98.704, BC: 0.737, BC 0.07: 0.707, Symetric_BC: 1.533, feat_D: 57.941 / 169.7s
[VAL] joint mae: 0.02553, accel diff: 0.00357, FGD: 5.307, diversity_score: 96.880, BC: 0.738, BC 0.07: 0.711, Symetric_BC: 1.534, feat_D: 57.858 / 167.5s
[VAL] joint mae: 0.02586, accel diff: 0.00391, FGD: 5.069, diversity_score: 96.034, BC: 0.743, BC 0.07: 0.724, Symetric_BC: 1.539, feat_D: 58.476 / 167.3s
[VAL] joint mae: 0.02545, accel diff: 0.00364, FGD: 6.010, diversity_score: 97.205, BC: 0.738, BC 0.07: 0.715, Symetric_BC: 1.533, feat_D: 57.489 / 164.6s
[VAL] joint mae: 0.02564, accel diff: 0.00353, FGD: 4.917, diversity_score: 98.437, BC: 0.738, BC 0.07: 0.707, Symetric_BC: 1.534, feat_D: 57.584 / 164.4s
[VAL] joint mae: 0.02603, accel diff: 0.00374, FGD: 4.556, diversity_score: 98.927, BC: 0.736, BC 0.07: 0.710, Symetric_BC: 1.531, feat_D: 58.670 / 165.2s
[VAL] joint mae: 0.02593, accel diff: 0.00376, FGD: 5.194, diversity_score: 99.189, BC: 0.736, BC 0.07: 0.712, Symetric_BC: 1.533, feat_D: 58.832 / 164.7s
[VAL] joint mae: 0.02599, accel diff: 0.00362, FGD: 5.510, diversity_score: 98.071, BC: 0.739, BC 0.07: 0.709, Symetric_BC: 1.535, feat_D: 58.161 / 165.6s
[VAL] joint mae: 0.02605, accel diff: 0.00366, FGD: 5.283, diversity_score: 99.386, BC: 0.738, BC 0.07: 0.713, Symetric_BC: 1.535, feat_D: 58.420 / 163.8s
[VAL] joint mae: 0.02621, accel diff: 0.00364, FGD: 5.443, diversity_score: 96.821, BC: 0.735, BC 0.07: 0.707, Symetric_BC: 1.531, feat_D: 59.176 / 165.7s
[VAL] joint mae: 0.02590, accel diff: 0.00361, FGD: 5.068, diversity_score: 96.985, BC: 0.740, BC 0.07: 0.711, Symetric_BC: 1.536, feat_D: 58.437 / 163.9s
[VAL] joint mae: 0.02615, accel diff: 0.00361, FGD: 5.265, diversity_score: 97.180, BC: 0.737, BC 0.07: 0.705, Symetric_BC: 1.534, feat_D: 58.455 / 163.9s
[VAL] joint mae: 0.02621, accel diff: 0.00365, FGD: 6.011, diversity_score: 97.703, BC: 0.738, BC 0.07: 0.710, Symetric_BC: 1.535, feat_D: 58.523 / 166.4s
[VAL] joint mae: 0.02629, accel diff: 0.00358, FGD: 5.739, diversity_score: 98.274, BC: 0.737, BC 0.07: 0.706, Symetric_BC: 1.533, feat_D: 58.885 / 164.2s
[VAL] joint mae: 0.02642, accel diff: 0.00374, FGD: 5.338, diversity_score: 100.481, BC: 0.741, BC 0.07: 0.713, Symetric_BC: 1.537, feat_D: 59.294 / 163.9s
[VAL] joint mae: 0.02633, accel diff: 0.00376, FGD: 5.839, diversity_score: 95.196, BC: 0.739, BC 0.07: 0.713, Symetric_BC: 1.536, feat_D: 58.991 / 165.5s
[VAL] joint mae: 0.02607, accel diff: 0.00360, FGD: 6.831, diversity_score: 98.400, BC: 0.737, BC 0.07: 0.706, Symetric_BC: 1.534, feat_D: 58.095 / 166.3s
[VAL] joint mae: 0.02649, accel diff: 0.00354, FGD: 5.969, diversity_score: 96.853, BC: 0.731, BC 0.07: 0.697, Symetric_BC: 1.528, feat_D: 59.339 / 165.5s
[VAL] joint mae: 0.02686, accel diff: 0.00386, FGD: 4.491, diversity_score: 99.936, BC: 0.737, BC 0.07: 0.709, Symetric_BC: 1.532, feat_D: 59.787 / 167.2s
[VAL] joint mae: 0.02669, accel diff: 0.00374, FGD: 4.524, diversity_score: 100.656, BC: 0.733, BC 0.07: 0.703, Symetric_BC: 1.529, feat_D: 59.612 / 164.8s
[VAL] joint mae: 0.02634, accel diff: 0.00361, FGD: 5.206, diversity_score: 99.340, BC: 0.728, BC 0.07: 0.697, Symetric_BC: 1.524, feat_D: 59.114 / 166.1s
[VAL] joint mae: 0.02721, accel diff: 0.00380, FGD: 5.591, diversity_score: 97.288, BC: 0.722, BC 0.07: 0.696, Symetric_BC: 1.517, feat_D: 60.873 / 165.1s
[VAL] joint mae: 0.02661, accel diff: 0.00354, FGD: 7.023, diversity_score: 95.116, BC: 0.729, BC 0.07: 0.691, Symetric_BC: 1.525, feat_D: 59.351 / 165.2s
[VAL] joint mae: 0.02627, accel diff: 0.00363, FGD: 6.163, diversity_score: 99.143, BC: 0.732, BC 0.07: 0.698, Symetric_BC: 1.527, feat_D: 58.805 / 166.9s
[VAL] joint mae: 0.02652, accel diff: 0.00364, FGD: 6.099, diversity_score: 94.587, BC: 0.735, BC 0.07: 0.705, Symetric_BC: 1.532, feat_D: 59.215 / 164.6s
[VAL] joint mae: 0.02619, accel diff: 0.00360, FGD: 6.642, diversity_score: 97.831, BC: 0.731, BC 0.07: 0.697, Symetric_BC: 1.526, feat_D: 58.420 / 164.6s
[VAL] joint mae: 0.02688, accel diff: 0.00384, FGD: 7.409, diversity_score: 93.780, BC: 0.741, BC 0.07: 0.715, Symetric_BC: 1.536, feat_D: 59.388 / 165.3s
[VAL] joint mae: 0.02608, accel diff: 0.00351, FGD: 8.472, diversity_score: 96.537, BC: 0.740, BC 0.07: 0.702, Symetric_BC: 1.536, feat_D: 58.002 / 164.6s
[VAL] joint mae: 0.02628, accel diff: 0.00371, FGD: 6.359, diversity_score: 98.311, BC: 0.738, BC 0.07: 0.711, Symetric_BC: 1.535, feat_D: 58.615 / 165.3s
