/data/guichoux/TED/ted_dataset/lmdb_train_speaker_model.pkl
Pose dim: 18
[VAL] joint mae: 0.02392, accel diff: 0.00334, FGD: 10.660, diversity_score: 95.252, BC: 0.719, BC 0.07: 0.706, Symetric_BC: 1.514, feat_D: 62.384 / 160.8s
[VAL] joint mae: 0.02436, accel diff: 0.00355, FGD: 8.163, diversity_score: 101.589, BC: 0.720, BC 0.07: 0.711, Symetric_BC: 1.515, feat_D: 63.557 / 160.5s
[VAL] joint mae: 0.02443, accel diff: 0.00354, FGD: 9.415, diversity_score: 96.611, BC: 0.723, BC 0.07: 0.714, Symetric_BC: 1.517, feat_D: 63.107 / 163.9s
[VAL] joint mae: 0.02435, accel diff: 0.00347, FGD: 8.948, diversity_score: 100.871, BC: 0.723, BC 0.07: 0.713, Symetric_BC: 1.519, feat_D: 63.222 / 163.4s
[VAL] joint mae: 0.02426, accel diff: 0.00344, FGD: 8.900, diversity_score: 100.137, BC: 0.720, BC 0.07: 0.710, Symetric_BC: 1.516, feat_D: 63.466 / 161.1s
[VAL] joint mae: 0.02436, accel diff: 0.00357, FGD: 8.904, diversity_score: 100.333, BC: 0.724, BC 0.07: 0.716, Symetric_BC: 1.519, feat_D: 63.251 / 162.9s
[VAL] joint mae: 0.02436, accel diff: 0.00347, FGD: 8.855, diversity_score: 99.585, BC: 0.725, BC 0.07: 0.716, Symetric_BC: 1.522, feat_D: 63.467 / 163.5s
[VAL] joint mae: 0.02414, accel diff: 0.00341, FGD: 9.918, diversity_score: 93.875, BC: 0.718, BC 0.07: 0.707, Symetric_BC: 1.514, feat_D: 63.025 / 163.7s
[VAL] joint mae: 0.02428, accel diff: 0.00337, FGD: 9.391, diversity_score: 99.922, BC: 0.719, BC 0.07: 0.708, Symetric_BC: 1.514, feat_D: 63.299 / 162.1s
[VAL] joint mae: 0.02445, accel diff: 0.00354, FGD: 8.620, diversity_score: 98.032, BC: 0.724, BC 0.07: 0.715, Symetric_BC: 1.519, feat_D: 63.440 / 159.1s
[VAL] joint mae: 0.02440, accel diff: 0.00352, FGD: 8.969, diversity_score: 94.658, BC: 0.720, BC 0.07: 0.712, Symetric_BC: 1.515, feat_D: 63.517 / 152.6s
[VAL] joint mae: 0.02409, accel diff: 0.00353, FGD: 9.213, diversity_score: 99.668, BC: 0.724, BC 0.07: 0.714, Symetric_BC: 1.519, feat_D: 63.167 / 160.1s
[VAL] joint mae: 0.02461, accel diff: 0.00350, FGD: 7.371, diversity_score: 97.963, BC: 0.723, BC 0.07: 0.714, Symetric_BC: 1.519, feat_D: 63.959 / 162.7s
[VAL] joint mae: 0.02444, accel diff: 0.00352, FGD: 9.157, diversity_score: 92.731, BC: 0.720, BC 0.07: 0.709, Symetric_BC: 1.516, feat_D: 63.366 / 162.0s
[VAL] joint mae: 0.02405, accel diff: 0.00353, FGD: 10.431, diversity_score: 90.022, BC: 0.721, BC 0.07: 0.710, Symetric_BC: 1.514, feat_D: 62.653 / 161.4s
[VAL] joint mae: 0.02452, accel diff: 0.00351, FGD: 8.403, diversity_score: 97.572, BC: 0.719, BC 0.07: 0.709, Symetric_BC: 1.513, feat_D: 63.524 / 164.4s
[VAL] joint mae: 0.02431, accel diff: 0.00343, FGD: 8.844, diversity_score: 100.453, BC: 0.720, BC 0.07: 0.710, Symetric_BC: 1.516, feat_D: 63.303 / 162.8s
[VAL] joint mae: 0.02457, accel diff: 0.00351, FGD: 8.993, diversity_score: 99.954, BC: 0.719, BC 0.07: 0.708, Symetric_BC: 1.514, feat_D: 63.727 / 162.0s
[VAL] joint mae: 0.02419, accel diff: 0.00333, FGD: 10.043, diversity_score: 96.269, BC: 0.715, BC 0.07: 0.704, Symetric_BC: 1.509, feat_D: 62.695 / 156.9s
[VAL] joint mae: 0.02425, accel diff: 0.00341, FGD: 9.256, diversity_score: 91.216, BC: 0.716, BC 0.07: 0.703, Symetric_BC: 1.511, feat_D: 63.231 / 163.3s
[VAL] joint mae: 0.02462, accel diff: 0.00346, FGD: 7.207, diversity_score: 101.425, BC: 0.716, BC 0.07: 0.706, Symetric_BC: 1.511, feat_D: 64.286 / 156.6s
